id	antibody	specie	treatment	control_id	cell_id	experiment_type	tf_uniprot_id	algn_id	peaks_id	geo_gsm	geo_gse	encode
EXP048603	anti-AR (Santa Cruz H-280)	Homo sapiens	Genotype: empty vector; Tissue: skin; Treatment: Cells were transfected with pcDNA3.1(-) empty vector control for 24 hr, post-seeding using Lipofectamine 2000	EXP048602	36	normal	P10275	ALIGNS053685	PEAKS047434	GSE116189	GSM3212792	NULL
EXP048604	anti-AR (Santa Cruz H-280)	Homo sapiens	Genotype: empty vector; Tissue: skin; Treatment: Cells were transfected with pcDNA3.1(-) vector expressing SLNCR1 for 24 hr, post-seeding using Lipofectamine 2000	EXP048602	36	normal	P10275	ALIGNS053686	PEAKS047435	GSE116189	GSM3212793	NULL
EXP048606	anti-EGR1 (Cell Signaling, 44D5)	Homo sapiens	Tissue: skin Tumor; Stage: malignant melanoma	EXP048605	36	normal	P18146	ALIGNS053688	PEAKS047436	GSE116190	GSM3212795	NULL
EXP048607	CTCF antibody 61311 Active Motif	Homo sapiens	Treatment: none	NULL	417	normal	P49711	ALIGNS053689	PEAKS047437	GSE115822	GSM3190507	NULL
EXP048609	Santa Cruz HC-20 and the monoclonal ER Ab10 antibodies	Homo sapiens		EXP048608	113	normal	P03372	ALIGNS053691	PEAKS047438	GSE116768	GSM3261517;GSM3261518	NULL
EXP048612	D5S6H-lot 1 (Cell Signaling Technology)	Homo sapiens	Treatment: 1uM 3-MC for 24 hr	EXP048610	2285	normal	P35869	ALIGNS053694	PEAKS047439	GSE116632	GSM3244481;GSM3244480	NULL
EXP048613	D5S6H-lot 1 (Cell Signaling Technology)	Homo sapiens	Treatment: 0.1 % DMSO for 24 hr	EXP048611	2285	normal	P35869	ALIGNS053695	PEAKS047440	GSE116632	GSM3244483;GSM3244484	NULL
EXP048614	rabbit anti Spt5 (Glover-Cutter et al NSMB 15:71-78, 2008)	Homo sapiens	SpikeIn: mouse M12; Treatment: control, no triptolide added	NULL	417	normal	O00267	ALIGNS053696	PEAKS047441	GSE117006	GSM3267288	NULL
EXP048615	rabbit anti Spt5 (Glover-Cutter et al NSMB 15:71-78, 2008)	Homo sapiens	SpikeIn: mouse M12; Treatment: after 2 min after triptolide added	NULL	417	normal	O00267	ALIGNS053697	PEAKS047442	GSE117006	GSM3267289	NULL
EXP048616	rabbit anti Spt5 (Glover-Cutter et al NSMB 15:71-78, 2008)	Homo sapiens	SpikeIn: mouse M12; Treatment: after 5 min after triptolide added	NULL	417	normal	O00267	ALIGNS053698	PEAKS047443	GSE117006	GSM3267290	NULL
EXP048617	rabbit anti Spt5 (Glover-Cutter et al NSMB 15:71-78, 2008)	Homo sapiens	SpikeIn: mouse M12; Treatment: after 10 min after triptolide added	NULL	417	normal	O00267	ALIGNS053699	PEAKS047444	GSE117006	GSM3267291	NULL
EXP048618	rabbit anti Spt5 (Glover-Cutter et al NSMB 15:71-78, 2008)	Homo sapiens	SpikeIn: mouse M12; Treatment: after 20 min after triptolide added	NULL	417	normal	O00267	ALIGNS053700	PEAKS047445	GSE117006	GSM3267292	NULL
EXP048631	anti-GFPE	Homo sapiens	Treatment: 10 uM DMSO for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048619	781	normal	P13631	ALIGNS053713	PEAKS047446	GSE117179	GSM3273035	NULL
EXP048632	anti-GFPE	Homo sapiens	Treatment: 10 uM CD437 for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048620	781	normal	P13631	ALIGNS053714	PEAKS047447	GSE117179	GSM3273036	NULL
EXP048633	anti-GFPE	Homo sapiens	Treatment: 10 uM DMSO for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048623	781	normal	P13631	ALIGNS053715	PEAKS047448	GSE117179	GSM3273041	NULL
EXP048634	anti-GFPE	Homo sapiens	Treatment: 10 uM CD437 for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048624	781	normal	P13631	ALIGNS053716	PEAKS047449	GSE117179	GSM3273042	NULL
EXP048635	anti-GFPE	Homo sapiens	Treatment: 10 uM DMSO for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048627	781	normal	P13631	ALIGNS053717	PEAKS047450	GSE117179	GSM3273047	NULL
EXP048636	anti-GFPE	Homo sapiens	Treatment: 10 uM CD437 for 2 hr; Gender: male; Source: non-malignant prostate cell line infected with BAC-RARG-EGFP	EXP048628	781	normal	P13631	ALIGNS053718	PEAKS047451	GSE117179	GSM3273048	NULL
EXP048639	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 0 hr (control); Passage: 2-5	EXP048637	92	normal	Q04206	ALIGNS053721	PEAKS047452	GSE117250	GSM3289902	NULL
EXP048640	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 0 hr (control); Passage: 2-5	EXP048638	92	normal	Q04206	ALIGNS053722	PEAKS047453	GSE117250	GSM3289903	NULL
EXP048641	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 1 hr; Passage: 2-5	EXP048637	92	normal	Q04206	ALIGNS053723	PEAKS047454	GSE117250	GSM3289904	NULL
EXP048642	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 1 hr; Passage: 2-5	EXP048638	92	normal	Q04206	ALIGNS053724	PEAKS047455	GSE117250	GSM3289905	NULL
EXP048643	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 4 hr; Passage: 2-5	EXP048637	92	normal	Q04206	ALIGNS053725	PEAKS047456	GSE117250	GSM3289906	NULL
EXP048644	RelA (sc-372, Santa Cruz)	Homo sapiens	Treatment: 50 ng/ml PMA and 2 uM ionomycin 4 hr; Passage: 2-5	EXP048638	92	normal	Q04206	ALIGNS053726	PEAKS047457	GSE117250	GSM3289907	NULL
EXP048646	anti-SMAD2 antibody (EP567Y, ab207451, Abcam)	Homo sapiens	Treatment: ActA, 50 ng/ml, 1.5hr	EXP048645	111	normal	Q15796	ALIGNS053728	PEAKS047458	GSE117495	GSM3301947;GSM3301949	NULL
EXP048647	anti-SMAD2 antibody (EP567Y, ab207451, Abcam)	Homo sapiens	Treatment: Palbo, 1microM, 24hr, ActA, 50 ng/ml, 1.5hr	EXP048645	111	normal	Q15796	ALIGNS053729	PEAKS047459	GSE117495	GSM3301948;GSM3301950	NULL
EXP048650	anti-SMAD2 antibody (EP567Y, ab207451, Abcam)	Homo sapiens	Treatment: ActA, 50 ng/ml, 1.5hr	EXP048648	449	normal	Q15796	ALIGNS053732	PEAKS047460	GSE117496	GSM3301954;GSM3301952	NULL
EXP048651	anti-SMAD2 antibody (EP567Y, ab207451, Abcam)	Homo sapiens	Treatment: Palbo, 1microM, 24hr, ActA, 50 ng/ml, 1.5hr	EXP048649	449	normal	Q15796	ALIGNS053733	PEAKS047461	GSE117496	GSM3301955;GSM3301953	NULL
EXP048655	CTCF, Active Motif #61311	Homo sapiens	Treatment: mock infected, time post infection 24 hr	EXP048652	466	normal	P49711	ALIGNS053737	PEAKS047462	GSE118305	GSM3324478	NULL
EXP048656	CTCF, Active Motif #61311	Homo sapiens	Treatment: ZIKV-bystander, time post infection 24 hr  Viral; Strain: ZIKV-FSS13025	EXP048653	466	normal	P49711	ALIGNS053738	PEAKS047463	GSE118305	GSM3324479	NULL
EXP048657	CTCF, Active Motif #61311	Homo sapiens	Treatment: ZIKV-bystander, time post infection 24 hr  Viral; Strain: ZIKV-FSS13025	EXP048654	466	normal	P49711	ALIGNS053739	PEAKS047464	GSE118305	GSM3324480	NULL
EXP048658	anti-ZNF207 (Santa Cruz Biotechnology, Inc.,  sc-271942)	Homo sapiens		NULL	396	normal	O43670	ALIGNS053740	PEAKS047465	GSE118632	GSM3335746;GSM3335747	NULL
EXP048659	NCAPH2 (Bethyl: A302-275A)	Homo sapiens	Passage: 10-13	NULL	421	normal	Q6IBW4	ALIGNS053741	PEAKS047466	GSE119418	GSM3374518;GSM3374519	NULL
EXP048662	anti-BMI1; Bethyl Laboratories; A301-694A	Homo sapiens		EXP048660	2287	normal	P35226	ALIGNS053744	PEAKS047467	GSE119823	GSM3384454	NULL
EXP048663	anti-SUZ12; Abcam; ab12073	Homo sapiens		EXP048661	2287	normal	Q15022	ALIGNS053745	PEAKS047468	GSE119823	GSM3384455	NULL
EXP048668	BCL6	Homo sapiens	Treatment: DMSO	EXP048666	38	normal	P41182	ALIGNS053750	PEAKS047469	GSE119863	GSM3386104	NULL
EXP048669	BCL6	Homo sapiens	Treatment: 1uM for 6 hr of OTX015	EXP048667	38	normal	P41182	ALIGNS053751	PEAKS047470	GSE119863	GSM3386105	NULL
EXP048670	BRD3	Homo sapiens	Treatment: DMSO	EXP048666	38	normal	Q15059	ALIGNS053752	PEAKS047471	GSE119863	GSM3386106	NULL
EXP048672	LDB1	Homo sapiens		EXP048671	2288	normal	Q86U70	ALIGNS053754	PEAKS047472	GSE120142	GSM3394844;GSM3394845	NULL
EXP048685	anti-ERa (Santa Cruz Biotechnology, sc-543)	Homo sapiens	Treatment: DMSO for 45 min; Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	P03372	ALIGNS053767	PEAKS047473	GSE120756	GSM3414760	NULL
EXP048686	anti-ERa (Santa Cruz Biotechnology, sc-543)	Homo sapiens	Treatment: E2 (estrogen) for 45 min; Genotype: wildtype TET2; Passage: 6-10	EXP048674	113	normal	P03372	ALIGNS053768	PEAKS047474	GSE120756	GSM3414762	NULL
EXP048687	anti-ERa (Santa Cruz Biotechnology, sc-543)	Homo sapiens	Treatment: DMSO for 45 min; Genotype: TET2 knockout; Passage: 6-10	EXP048675	113	normal	P03372	ALIGNS053769	PEAKS047475	GSE120756	GSM3414764	NULL
EXP048688	anti-ERa (Santa Cruz Biotechnology, sc-543)	Homo sapiens	Treatment: E2 (estrogen) for 45 min; Genotype: TET2 knockout; Passage: 6-10	EXP048676	113	normal	P03372	ALIGNS053770	PEAKS047476	GSE120756	GSM3414766	NULL
EXP048689	TET2_NTD (homemade)	Homo sapiens	Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	Q6N021	ALIGNS053771	PEAKS047477	GSE120756	GSM3414768	NULL
EXP048690	TET2_NTD (homemade)	Homo sapiens	Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	Q6N021	ALIGNS053772	PEAKS047478	GSE120756	GSM3414769	NULL
EXP048691	TET2_NTD (homemade)	Homo sapiens	Genotype: TET2 knockout; Passage: 6-10	NULL	113	bio_control	Q6N021	ALIGNS053773	PEAKS047479	GSE120756	GSM3414770	NULL
EXP048692	ESR1	Homo sapiens	Treatment: DMSO for 45 min; Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	P03372	ALIGNS053774	PEAKS047480	GSE120756	GSM3414771	NULL
EXP048693	anti-ERa (Santa Cruz Biotechnology, sc-543)	Homo sapiens	Treatment: E2 (estrogen) for 45 min; Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	P03372	ALIGNS053775	PEAKS047481	GSE120756	GSM3414772	NULL
EXP048694	anti-TET2_NTD (homemade)	Homo sapiens	Treatment: DMSO for 45 min; Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	Q6N021	ALIGNS053776	PEAKS047482	GSE120756	GSM3414775	NULL
EXP048695	anti-TET2_NTD (homemade)	Homo sapiens	Treatment: Tamoxifen for 45 min; Genotype: wildtype TET2; Passage: 6-10	NULL	113	normal	Q6N021	ALIGNS053777	PEAKS047483	GSE120756	GSM3414776	NULL
EXP048696	anti-MLL3 (homemade)	Homo sapiens	Treatment: DMSO for 45 min; Passage: 6-10	EXP048677	113	normal	Q8NEZ4	ALIGNS053778	PEAKS047484	GSE120756	GSM3414777	NULL
EXP048697	anti-MLL3 (homemade)	Homo sapiens	Treatment: E2 (estrogen) for 45 min; Passage: 6-10	EXP048678	113	normal	Q8NEZ4	ALIGNS053779	PEAKS047485	GSE120756	GSM3414778	NULL
EXP048698	anti-MLL3 (homemade)	Homo sapiens	Treatment: no targeting shRNA; Passage: 6-10	EXP048679	113	normal	Q8NEZ4	ALIGNS053780	PEAKS047486	GSE120756	GSM3414785	NULL
EXP048699	anti-MLL3 (homemade)	Homo sapiens	Treatment: shRNA target MLL3; Passage: 6-10	EXP048680	113	normal	Q8NEZ4	ALIGNS053781	PEAKS047487	GSE120756	GSM3414786	NULL
EXP048700	anti-TET2_NTD (homemade)	Homo sapiens	Treatment: shRNA target TET2; Passage: 6-10	EXP048682	113	normal	Q6N021	ALIGNS053782	PEAKS047488	GSE120756	GSM3414791	NULL
EXP048701	anti-TET2 (Cell Signaling Technology)	Homo sapiens	Genotype: wildtype TET2; Passage: 6-10	EXP048683	113	normal	Q6N021	ALIGNS053783	PEAKS047489	GSE120756	GSM3414794	NULL
EXP048702	anti-TET2 (Cell Signaling Technology)	Homo sapiens	Genotype: TET2 knockout; Passage: 6-10	EXP048684	113	bio_control	Q6N021	ALIGNS053784	PEAKS047490	GSE120756	GSM3414795	NULL
EXP048703	anti-UTX (homemade)	Homo sapiens	Genotype: parental cells; Passage: 6-10	NULL	113	normal	O15550	ALIGNS053785	PEAKS047491	GSE120756	GSM3414798	NULL
EXP048714	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF1a knockout	EXP048709	2289	normal	P27540	ALIGNS053796	PEAKS047502	GSE120885	GSM3417815	NULL
EXP048715	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF1a knockout	EXP048709	2289	normal	Q99814	ALIGNS053797	PEAKS047503	GSE120885	GSM3417816	NULL
EXP048716	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF2a knockout	EXP048710	2289	normal	P27540	ALIGNS053798	PEAKS047504	GSE120885	GSM3417817	NULL
EXP048717	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF2a knockout	EXP048710	2289	normal	Q16665	ALIGNS053799	PEAKS047505	GSE120885	GSM3417818	NULL
EXP048718	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF1a knockout	EXP048712	2289	normal	P27540	ALIGNS053800	PEAKS047506	GSE120885	GSM3417822	NULL
EXP048719	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF1a knockout	EXP048712	2289	normal	Q99814	ALIGNS053801	PEAKS047507	GSE120885	GSM3417823	NULL
EXP048720	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF2a knockout	EXP048713	2289	normal	P27540	ALIGNS053802	PEAKS047508	GSE120885	GSM3417824	NULL
EXP048721	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours, HIF2a knockout	EXP048713	2289	normal	Q16665	ALIGNS053803	PEAKS047509	GSE120885	GSM3417825	NULL
EXP048722	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048726	2291	bio_control	Q16665	ALIGNS053804	PEAKS047510	GSE120885	GSM3417826	NULL
EXP048723	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048727	2291	normal	Q16665	ALIGNS053805	PEAKS047511	GSE120885	GSM3417827	NULL
EXP048724	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048726	2291	normal	Q99814	ALIGNS053806	PEAKS047512	GSE120885	GSM3417828	NULL
EXP048725	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048727	2291	normal	Q99814	ALIGNS053807	PEAKS047513	GSE120885	GSM3417829	NULL
EXP048728	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048730	2291	normal	P27540	ALIGNS053810	PEAKS047516	GSE120885	GSM3417832	NULL
EXP048729	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia - normoxia	EXP048731	2291	normal	P27540	ALIGNS053811	PEAKS047517	GSE120885	GSM3417833	NULL
EXP048734	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048732	430	normal	P27540	ALIGNS053816	PEAKS047522	GSE120885	GSM3417838	NULL
EXP048735	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048733	430	normal	P27540	ALIGNS053817	PEAKS047523	GSE120885	GSM3417839	NULL
EXP048736	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048732	430	normal	Q16665	ALIGNS053818	PEAKS047524	GSE120885	GSM3417840	NULL
EXP048737	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048733	430	normal	Q16665	ALIGNS053819	PEAKS047525	GSE120885	GSM3417841	NULL
EXP048738	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048732	430	normal	Q99814	ALIGNS053820	PEAKS047526	GSE120885	GSM3417842	NULL
EXP048739	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048733	430	normal	Q99814	ALIGNS053821	PEAKS047527	GSE120885	GSM3417843	NULL
EXP048740	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 6 hours	EXP048704	2289	normal	Q16665	ALIGNS053822	PEAKS047528	GSE120885	GSM3417778;GSM3417779	NULL
EXP048741	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 6 hours	EXP048704	2289	normal	Q99814	ALIGNS053823	PEAKS047529	GSE120885	GSM3417780;GSM3417781	NULL
EXP048742	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 6 hours	EXP048704	2289	normal	P27540	ALIGNS053824	PEAKS047530	GSE120885	GSM3417782;GSM3417783	NULL
EXP048743	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048705	2289	normal	Q16665	ALIGNS053825	PEAKS047531	GSE120885	GSM3417785;GSM3417786	NULL
EXP048744	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048705	2289	normal	Q99814	ALIGNS053826	PEAKS047532	GSE120885	GSM3417787;GSM3417788	NULL
EXP048745	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048705	2289	normal	P27540	ALIGNS053827	PEAKS047533	GSE120885	GSM3417789;GSM3417790	NULL
EXP048746	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 48 hours	EXP048706	2289	normal	Q16665	ALIGNS053828	PEAKS047534	GSE120885	GSM3417792;GSM3417793	NULL
EXP048747	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 48 hours	EXP048706	2289	normal	Q99814	ALIGNS053829	PEAKS047535	GSE120885	GSM3417794;GSM3417795	NULL
EXP048748	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 48 hours	EXP048706	2289	normal	P27540	ALIGNS053830	PEAKS047536	GSE120885	GSM3417796;GSM3417797	NULL
EXP048749	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 3.0%, duration of hypoxia 6 hours	EXP048707	2289	normal	Q16665	ALIGNS053831	PEAKS047537	GSE120885	GSM3417800;GSM3417799	NULL
EXP048750	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 3.0%, duration of hypoxia 6 hours	EXP048707	2289	normal	Q99814	ALIGNS053832	PEAKS047538	GSE120885	GSM3417801;GSM3417802	NULL
EXP048751	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 3.0%, duration of hypoxia 6 hours	EXP048707	2289	normal	P27540	ALIGNS053833	PEAKS047539	GSE120885	GSM3417803;GSM3417804	NULL
EXP048752	anti-HIF1b (Novus NB100-110)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048755	2289	normal	P27540	ALIGNS053834	PEAKS047540	GSE120885	GSM3417812;GSM3417819	NULL
EXP048753	HIF1a (PM14)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048755	2289	normal	Q16665	ALIGNS053835	PEAKS047541	GSE120885	GSM3417813;GSM3417820	NULL
EXP048754	HIF2a (PM9)	Homo sapiens	Treatment: degree of hypoxia 0.5%, duration of hypoxia 16 hours	EXP048755	2289	normal	Q99814	ALIGNS053836	PEAKS047542	GSE120885	GSM3417814;GSM3417821	NULL
EXP048756	FOXA2	Homo sapiens	Phase: P (proliferative)	NULL	2292	normal	Q9Y261	ALIGNS053838	PEAKS047543	GSE121586	GSM3439733;GSM3439734	NULL
EXP048757	FOXA2	Homo sapiens	Phase: MS (mid-secretory)	NULL	2292	normal	Q9Y261	ALIGNS053839	PEAKS047544	GSE121586	GSM3439735;GSM3439736	NULL
EXP048759	4439 (Anti-JARID1B antibody, ABE239, EMD Millipore)	Homo sapiens	Treatment: hormone-deprived for at least 3 days and then treated with vehicle for 45 minutes	EXP048758	113	normal	Q9UGL1	ALIGNS053841	PEAKS047545	GSE28337	GSM700758	NULL
EXP048760	2469 (non-commercial, unpublished)	Homo sapiens	Treatment: hormone-deprived for at least 3 days and then treated with vehicle for 45 minutes	EXP048758	113	normal	P29375	ALIGNS053842	PEAKS047546	GSE28337	GSM700755;GSM700754	NULL
EXP048761	2469 (non-commercial, unpublished)	Homo sapiens	Treatment: hormone-deprived for at least 3 days and then treated with 100 nM 17|2-estradiol (Sigma) for 45 minutes	EXP048758	113	normal	P29375	ALIGNS053843	PEAKS047547	GSE28337	GSM700757;GSM700756	NULL
EXP048763	MTA2 (Santa Cruz, sc-28731)	Homo sapiens		EXP048762	417	normal	O94776	ALIGNS053845	PEAKS047548	GSE39467	GSM969795	NULL
EXP048764	EZH2 (Abcam, ab3748)	Homo sapiens		EXP048762	417	normal	Q15910	ALIGNS053846	PEAKS047549	GSE39467	GSM969796	NULL
EXP048765	EZH2 (Abcam, ab3748)	Homo sapiens		EXP048762	417	normal	Q15910	ALIGNS053847	PEAKS047550	GSE39467	GSM1575431	NULL
EXP048772	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: none; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048766	1008	normal	Q08945	ALIGNS053854	PEAKS047551	GSE45393	GSM1103543	NULL
EXP048773	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: none; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048767	1008	normal	Q08945	ALIGNS053855	PEAKS047552	GSE45393	GSM1103544	NULL
EXP048774	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: none; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048768	1008	normal	Q08945	ALIGNS053856	PEAKS047553	GSE45393	GSM1103545	NULL
EXP048775	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: curaxin; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048769	1008	normal	Q08945	ALIGNS053857	PEAKS047554	GSE45393	GSM1103546	NULL
EXP048776	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: curaxin; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048770	1008	normal	Q08945	ALIGNS053858	PEAKS047555	GSE45393	GSM1103547	NULL
EXP048777	SSRP1 (Biolegend, cat#609702, clone:10D1)	Homo sapiens	Treatment: curaxin; Tissue: derived from biopsy of fibrosarcoma of Human male	EXP048771	1008	normal	Q08945	ALIGNS053859	PEAKS047556	GSE45393	GSM1103548	NULL
EXP048778	YAP (H125)X  (Santa Cruz Biotechnologies,#sc1540, #c-1904)	Homo sapiens	Treatment: no treatment	NULL	2293	normal	P46937	ALIGNS053860	PEAKS047557	GSE57236	GSM1377693	NULL
EXP048780	YAP Santa Cruz	Homo sapiens		EXP048779	2294	normal	P18509	ALIGNS053862	PEAKS047558	GSE62274	GSM1524337	NULL
EXP048781	YAP	Homo sapiens		EXP048779	2294	normal	P46937	ALIGNS053863	PEAKS047559	GSE62274	GSM1524338	NULL
EXP048782	TEAD	Homo sapiens		EXP048779	2294	normal	P28347	ALIGNS053864	PEAKS047560	GSE62274	GSM1524339	NULL
EXP048783	Monoclonal ANTI-FLAG® M2 antibody (Sigma Aldrich, Cat# F1804)	Homo sapiens	Genotype: cells transformed with adenovirus 5 DNA for BRD7 overexpression	NULL	421	normal	Q9NPI1	ALIGNS053865	PEAKS047561	GSE65974	GSM1611871	NULL
EXP048784	Monoclonal ANTI-FLAG® M2 antibody (Sigma Aldrich, Cat# F1804)	Homo sapiens	Genotype: wildtype	NULL	421	normal	Q9NPI1	ALIGNS053866	PEAKS047562	GSE65974	GSM1611872	NULL
EXP048785	BPTF; Kindly obtained from Ramin Shiekhattar	Homo sapiens	Treatment: unstimulated cells	NULL	2295	normal	Q12830	ALIGNS053867	PEAKS047563	GSE64467	GSM1571861	NULL
EXP048786	BPTF; Kindly obtained from Ramin Shiekhattar	Homo sapiens	Treatment: stimulated cells with 30 minutes	NULL	2295	normal	Q12830	ALIGNS053868	PEAKS047564	GSE64467	GSM1571862	NULL
EXP048787	anti-HP1? (Mab 3450)	Homo sapiens	Treatment: unstimulated cells	NULL	2295	normal	Q13185	ALIGNS053869	PEAKS047565	GSE64467	GSM1571866	NULL
EXP048788	anti-HP1? (Mab 3450)	Homo sapiens	Treatment: stimulated cells with 30 minutes	NULL	2295	normal	Q13185	ALIGNS053870	PEAKS047566	GSE64467	GSM1571867	NULL
EXP048789	abcam anti-LSD1	Homo sapiens	Treatment: unstimulated cells	NULL	2295	normal	O60341	ALIGNS053871	PEAKS047567	GSE64467	GSM1571868	NULL
EXP048790	abcam anti-LSD1	Homo sapiens	Treatment: stimulated cells with 30 minutes	NULL	2295	normal	O60341	ALIGNS053872	PEAKS047568	GSE64467	GSM1571869	NULL
EXP048791	anti-CTCF	Homo sapiens		NULL	712	normal	P49711	ALIGNS053873	PEAKS047569	GSE68858	GSM1684572;GSM1684573;GSM1684571;GSM1684574	NULL
EXP048792	HDAC2 (Cell Signaling, 2545S)	Homo sapiens	Treatment: Minicircle	NULL	1143	normal	Q92769	ALIGNS053874	PEAKS047570	GSE69626	GSM1706655	NULL
EXP048793	HDAC2 (Cell Signaling, 2545S)	Homo sapiens	Treatment: Minicircle	NULL	1143	normal	Q92769	ALIGNS053875	PEAKS047571	GSE69626	GSM1706660	NULL
EXP048794	HDAC2 (Cell Signaling, 2545S)	Homo sapiens	Treatment: Episomal vector	NULL	1143	normal	Q92769	ALIGNS053876	PEAKS047572	GSE69626	GSM1706665	NULL
EXP048795	HDAC2 (Cell Signaling, 2545S)	Homo sapiens	Treatment: Episomal vector	NULL	1143	normal	Q92769	ALIGNS053877	PEAKS047573	GSE69626	GSM1706670	NULL
